PAA D-2S3R-expoxyTACA-Ggaba        [H]N(C(=O)[C@@]1([H])O[C@]1([H])C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
POJ D-2S3R-HAMP-Ggaba              [H]N(C(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
POK D-2S3S-HAMP-Ggaba              [H]N(C(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]1([H])C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
PJA D-2S-aminoFUHACP-Ggaba         [H]O[C@@]1([H])O[C@]([H])(C(=O)N([H])C([H])([H])[H])[C@]([H])(O[H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])[C@@]1([H])O[H]
POL D-2S-MeGABA-Ggaba              [H]N(C(=O)[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
POM D-3R6R-isoBAMP-Ggaba           [H]N(C(=O)C([H])([H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]1([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
PJB D-3R-Aminocarnitine-Ggaba      [H]N(C(=O)C([H])([H])[C@@]([H])(N([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
PJC D-3R-Carnitine-Ggaba           [H]O[C@]([H])(C([H])([H])C(=O)N([H])C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H]
PJD D-3R-GABOB-Ggaba               [H]O[C@]([H])(C([H])([H])C(=O)N([H])C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H]
PON D-4R-4-ACPCA-Ggaba             [H]C1=C(C(=O)N([H])C([H])([H])[H])C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C1([H])[H]
